"tweet_date_created","tweet_id","tweet_text","language","sentiment","sentiment_score"
"2018-08-08T13:09:15.489000","1027179935184703489","Alisson puede estar más tranquilo, no cargará con el peso de ser el arquero mas caro de la historia. Si es que eso le pesaba en algo. Gracias @ChelseaFC","es","POSITIVE","{""Neutral"":0.082259356975555419921875,""Negative"":0.0365360490977764129638671875,""Positive"":0.7459237575531005859375,""Mixed"":0.1352808773517608642578125}"
"2018-08-08T18:27:37.320000","1027260056092344320","@iPincheViky @ChelseaFC Es que el director ejecutivo es mujer. So... Jajajajjaa.","es","NEUTRAL","{""Neutral"":0.827011644840240478515625,""Negative"":0.078549765050411224365234375,""Positive"":0.071943394839763641357421875,""Mixed"":0.02249521203339099884033203125}"
"2018-08-12T14:59:31.520000","1028657238116843520","Upto £100 #freebets &gt; https://t.co/cbjeMXI99f #lol #gunners #matchedbetting #c4racing #cheltenhamfestival https://t.co/dg8clEuqku","es","NEUTRAL","{""Neutral"":0.930982112884521484375,""Negative"":0.03142802417278289794921875,""Positive"":0.030183732509613037109375,""Mixed"":0.00740610249340534210205078125}"
"2018-08-04T13:23:30.257000","1025733971320160257","Bobby Duncan, primo de Steven Gerrard, deja la cantera del #ManCity para firmar por el #Liverpool https://t.co/6uMcVrYmgM","es","NEUTRAL","{""Neutral"":0.906872212886810302734375,""Negative"":0.057496130466461181640625,""Positive"":0.02487484179437160491943359375,""Mixed"":0.0107567794620990753173828125}"
"2018-07-28T11:21:06.480000","1023166450981396480","@TorreiraForeva @lepvtron @Arsenal @IntChampionsCup Leon bailey or Federico cheisa","es","NEUTRAL","{""Neutral"":0.942405760288238525390625,""Negative"":0.031377367675304412841796875,""Positive"":0.02038344927132129669189453125,""Mixed"":0.005833382718265056610107421875}"
"2018-08-27T22:14:46.353000","1034202588273508353","No se que escribir con respecto al juego de hoy, sigo en el shock en el que me dejó el Gol de Kane.

Me dedicaré a leer las opiniones #MUFC","es","NEGATIVE","{""Neutral"":0.13304601609706878662109375,""Negative"":0.773208141326904296875,""Positive"":0.031775079667568206787109375,""Mixed"":0.06197066605091094970703125}"
"2018-08-28T21:20:43.200000","1034551374288179200","El segundo equipo más valioso del mundo. Jornada 3. Los jugadores arengando a la afición. Mourinho, desatado. Va a ser un año largo en Old Trafford... #ManUnited #EPL https://t.co/TXeuNg6jGx","es","NEUTRAL","{""Neutral"":0.666590392589569091796875,""Negative"":0.02555460296571254730224609375,""Positive"":0.2872931659221649169921875,""Mixed"":0.0205618701875209808349609375}"
"2018-06-27T20:50:44.978000","1012075780380286978","Rubén, espero que cumplas tu promesa el primer día de pretemporada con el @LFC ;) https://t.co/8cZtSy3eCx","es","NEUTRAL","{""Neutral"":0.82933437824249267578125,""Negative"":0.014910652302205562591552734375,""Positive"":0.14466883242130279541015625,""Mixed"":0.011086157523095607757568359375}"
"2018-09-18T01:33:00.914000","1041862621522214914","Milner ha destacado la importancia de que todos los jugadores del #LFC aporten goles al equipo, no sólo el tridente ofensivo de Salah, Roberto Firmino y Mané. ???","es","NEUTRAL","{""Neutral"":0.84334051609039306640625,""Negative"":0.07204745709896087646484375,""Positive"":0.064045570790767669677734375,""Mixed"":0.0205664932727813720703125}"
"2018-08-27T13:20:28.758000","1034068129918410758","Tal día como hoy en 2002, @rioferdy5 realizó su debut con el #MUFC.

Once a ?, always a ?... https://t.co/wYMjo7zRTz","es","NEUTRAL","{""Neutral"":0.757862985134124755859375,""Negative"":0.0045680250041186809539794921875,""Positive"":0.2306688725948333740234375,""Mixed"":0.0069001610390841960906982421875}"
"2018-08-22T02:00:01.288000","1032084946486284288","Representante de #Pogba pide al @ManUtd facilitar salida del club
https://t.co/yR2O1rERvB","es","NEUTRAL","{""Neutral"":0.88546121120452880859375,""Negative"":0.0535912811756134033203125,""Positive"":0.0494438894093036651611328125,""Mixed"":0.011503566987812519073486328125}"
"2018-08-24T00:30:20.904000","1032787153300987904","Nuevo sustituto de @c1audiobravo en el @ManCity. El guardameta suizo de 19 años, Arijanet Muric, regresa a los Citizens tras la lesión del chileno. ¿Podrá el joven portero defender como se debe? https://t.co/V4EoKzHKGe","es","NEUTRAL","{""Neutral"":0.944832146167755126953125,""Negative"":0.0355229787528514862060546875,""Positive"":0.01174478419125080108642578125,""Mixed"":0.007900102995336055755615234375}"
"2018-06-13T15:26:34","1006920771372027904","@RodrigoRomano76 @Arsenal @canal10uruguay Soy hincha del arsenal, es un Bueno jugador? Amigos uruguayos","es","NEUTRAL","{""Neutral"":0.70216166973114013671875,""Negative"":0.004259341396391391754150390625,""Positive"":0.2836624681949615478515625,""Mixed"":0.00991655327379703521728515625}"
"2018-08-05T22:57:45.384000","1026240872864784384","Matip siendo de papel, se necesita un nuevo Central (Tarkowski), y Ox fuera casi toda la temporada, teniendo solo a Lallana como creativo, se necesita otro ofensivo (Fekir) #LFC","es","NEUTRAL","{""Neutral"":0.485381901264190673828125,""Negative"":0.3825864493846893310546875,""Positive"":0.072385370731353759765625,""Mixed"":0.0596462376415729522705078125}"
"2018-05-05T18:59:00","992841107514982400","Esperamos su pronta recuperación y nuestras oraciones para Sir Alex Ferguson. #YNWA","es","NEUTRAL","{""Neutral"":0.78641760349273681640625,""Negative"":0.0481651537120342254638671875,""Positive"":0.1531910598278045654296875,""Mixed"":0.01222617924213409423828125}"
"2018-08-31T05:28:28.936000","1035398898926247936","‘Tucu’ Pereyra vs Lucas Moura en este inicio de @premierleague.

#watfordfc?

[Vía @StatZoneSports] https://t.co/heIpAfs6dW","es","NEUTRAL","{""Neutral"":0.98120594024658203125,""Negative"":0.0042048259638249874114990234375,""Positive"":0.012826777994632720947265625,""Mixed"":0.001762450323440134525299072265625}"
"2018-09-15T17:53:58.425000","1041022324181479425","Gol del @WatfordFC descuenta El encuentro lo hizo gray a los 19 2T 1-2 sigue ganando el @ManUtd_Es #PREMIERxESPN @premierleague","es","NEUTRAL","{""Neutral"":0.84816646575927734375,""Negative"":0.084686718881130218505859375,""Positive"":0.05080966651439666748046875,""Mixed"":0.01633714698255062103271484375}"
"2018-08-26T10:24:11.192000","1033661376412168192","Precioso el estadio Olímpico de Londres, casa de los Hammers @WestHamUtd https://t.co/hSEM6tkCdt","es","POSITIVE","{""Neutral"":0.458869457244873046875,""Negative"":0.00606510974466800689697265625,""Positive"":0.519774496555328369140625,""Mixed"":0.015290957875549793243408203125}"
"2018-08-30T17:28:38.712000","1035217747028979712","@CristianVLC17 @HectorBlatVCF @vicentee24 @valenciacf @juventusfcen @ManUtd @BSC_YB Pues así a bote pronto, ninguno.","es","NEUTRAL","{""Neutral"":0.792609751224517822265625,""Negative"":0.1434144675731658935546875,""Positive"":0.043877542018890380859375,""Mixed"":0.02009830437600612640380859375}"
